id_uf,ano,gini_pib,gini_va_agro,gini_va_industria,gini_va_servicos,gini_va_adespss
33,2008,0.836786,0.529363,0.870722,0.857452,0.766208
21,2008,0.730672,0.518552,0.908481,0.838127,0.531339
23,2008,0.78616,0.430047,0.9006,0.875949,0.596834
14,2008,0.749445,0.315203,0.85654,0.870033,0.664067
32,2008,0.799044,0.440264,0.862036,0.817633,0.614491
43,2008,0.789626,0.469873,0.87284,0.848036,0.707235
16,2008,0.781591,0.434792,0.800127,0.866642,0.727474
22,2008,0.756198,0.639527,0.952499,0.871897,0.580745
50,2008,0.675954,0.462973,0.812639,0.778331,0.607962
24,2008,0.80536,0.535779,0.905557,0.890658,0.635237
25,2008,0.777112,0.477006,0.927443,0.879494,0.597878
51,2008,0.710669,0.626871,0.813571,0.811334,0.609834
27,2008,0.72945,0.519023,0.879423,0.850721,0.561381
28,2008,0.722027,0.467659,0.842162,0.831222,0.58249
29,2008,0.791933,0.655597,0.91782,0.857861,0.558078
11,2008,0.660341,0.301692,0.796479,0.781624,0.567431
31,2008,0.831392,0.602186,0.915494,0.868216,0.671271
17,2008,0.695974,0.495967,0.867597,0.820717,0.553601
26,2008,0.789048,0.514007,0.907502,0.864107,0.601693
15,2008,0.750837,0.443457,0.886632,0.847879,0.558879
52,2008,0.796521,0.623404,0.88469,0.847138,0.706493
42,2008,0.751064,0.420716,0.805731,0.812143,0.664049
16,2009,0.782225,0.43665,0.82561,0.861544,0.725058
50,2009,0.683925,0.479803,0.81492,0.783917,0.612379
52,2009,0.798453,0.628253,0.880701,0.85111,0.714992
43,2009,0.797601,0.478535,0.880572,0.850162,0.714496
41,2009,0.801559,0.40694,0.88849,0.854305,0.681013
42,2009,0.74885,0.424785,0.802396,0.805873,0.668361
17,2009,0.689725,0.504634,0.864275,0.820196,0.554511
27,2009,0.734932,0.542106,0.873858,0.862018,0.563608
35,2009,0.877212,0.512915,0.876372,0.910341,0.791058
22,2009,0.761951,0.631006,0.942363,0.874084,0.581615
25,2009,0.778778,0.49622,0.921618,0.881291,0.599148
26,2009,0.789191,0.500753,0.908791,0.863687,0.596419
32,2009,0.787945,0.450832,0.845588,0.81735,0.621109
21,2009,0.727809,0.514092,0.888007,0.832238,0.536332
14,2009,0.756471,0.31724,0.86447,0.872336,0.664085
33,2009,0.837431,0.541846,0.860553,0.859214,0.765951
24,2009,0.805413,0.589204,0.901183,0.895506,0.638469
12,2009,0.732872,0.345368,0.869448,0.869827,0.589417
31,2009,0.829374,0.600112,0.909411,0.869361,0.674232
51,2009,0.714188,0.614641,0.817777,0.813765,0.611918
13,2009,0.900838,0.542595,0.972579,0.941844,0.670965
28,2009,0.713271,0.472585,0.836059,0.830972,0.582799
29,2009,0.794618,0.632403,0.922938,0.860695,0.558916
11,2009,0.679131,0.298879,0.830834,0.790344,0.574558
15,2009,0.732581,0.460897,0.876778,0.842684,0.555839
23,2009,0.795191,0.43735,0.903989,0.878153,0.599086
25,2010,0.782938,0.518389,0.917,0.879141,0.608085
51,2010,0.715726,0.562925,0.803118,0.80973,0.621232
21,2010,0.740196,0.47897,0.896213,0.849286,0.540227
23,2010,0.798106,0.469999,0.897288,0.869844,0.599987
33,2010,0.833818,0.538402,0.847121,0.856702,0.766245
42,2010,0.756823,0.437045,0.801329,0.805709,0.672391
22,2010,0.775608,0.580903,0.921378,0.87881,0.592273
52,2010,0.799021,0.630829,0.874486,0.852664,0.712999
16,2010,0.774362,0.454933,0.795366,0.859495,0.726011
43,2010,0.797096,0.465321,0.871183,0.85175,0.717035
50,2010,0.687946,0.460799,0.812562,0.785855,0.619864
26,2010,0.795613,0.532082,0.896176,0.867621,0.598143
14,2010,0.757445,0.278119,0.873776,0.877136,0.65358
15,2010,0.754573,0.45615,0.909613,0.847266,0.549413
41,2010,0.802788,0.412787,0.885678,0.858623,0.681466
17,2010,0.712411,0.496308,0.871837,0.833053,0.580219
29,2010,0.79077,0.578631,0.913228,0.857901,0.556216
31,2010,0.833219,0.623972,0.9074,0.869033,0.675285
28,2010,0.730533,0.464447,0.835509,0.836279,0.59634
35,2010,0.880277,0.499789,0.874522,0.910726,0.79087
32,2010,0.787483,0.469221,0.850888,0.808996,0.620389
24,2010,0.814128,0.617762,0.905583,0.895017,0.646723
12,2010,0.71591,0.318025,0.863222,0.862712,0.596
13,2010,0.896882,0.527417,0.970386,0.937976,0.664515
27,2010,0.748682,0.530236,0.877752,0.86783,0.568839
11,2010,0.698207,0.305903,0.842143,0.796676,0.589688
25,2011,0.781692,0.509508,0.919552,0.876394,0.609193
24,2011,0.80685,0.587649,0.901103,0.8861,0.647998
41,2011,0.797691,0.404218,0.876134,0.854396,0.683855
33,2011,0.832692,0.568765,0.850557,0.857034,0.767955
14,2011,0.748618,0.291863,0.860558,0.875526,0.648349
50,2011,0.690452,0.480061,0.818354,0.783863,0.62268
29,2011,0.783412,0.622221,0.904971,0.8522,0.555735
21,2011,0.727895,0.476414,0.895468,0.829313,0.52733
11,2011,0.709207,0.29633,0.862624,0.79615,0.594139
31,2011,0.827357,0.641745,0.905515,0.865709,0.67479
22,2011,0.771262,0.606492,0.914025,0.880842,0.591684
27,2011,0.754962,0.575045,0.87305,0.862911,0.567759
28,2011,0.736298,0.472985,0.8303,0.837158,0.591299
15,2011,0.762108,0.456052,0.919573,0.843604,0.545114
42,2011,0.757163,0.429633,0.794855,0.802849,0.674234
17,2011,0.706482,0.536661,0.851478,0.832504,0.588119
35,2011,0.879435,0.503118,0.865807,0.909642,0.791075
43,2011,0.794704,0.465625,0.866609,0.849987,0.717238
51,2011,0.70056,0.588327,0.794862,0.801203,0.620535
16,2011,0.770029,0.439823,0.785591,0.853693,0.724325
23,2011,0.790217,0.423611,0.894373,0.868994,0.600073
12,2011,0.714592,0.337085,0.855611,0.864705,0.595876
26,2011,0.796663,0.496711,0.89741,0.865072,0.595435
32,2011,0.783108,0.417931,0.852269,0.79887,0.620689
13,2011,0.884592,0.550097,0.967085,0.936293,0.66453
52,2011,0.798265,0.623173,0.868037,0.85533,0.716934
32,2012,0.774786,0.406799,0.844042,0.792048,0.620013
29,2012,0.782281,0.673233,0.899826,0.845124,0.56045
41,2012,0.795766,0.412158,0.868832,0.851741,0.687123
23,2012,0.802985,0.479848,0.895583,0.872056,0.599542
33,2012,0.827805,0.578022,0.845195,0.853204,0.7646
21,2012,0.739431,0.52751,0.898508,0.831335,0.528524
22,2012,0.779198,0.724553,0.909726,0.878014,0.592821
42,2012,0.75871,0.434474,0.789814,0.801431,0.675045
15,2012,0.75689,0.460713,0.908228,0.843352,0.548081
52,2012,0.797168,0.63793,0.871307,0.854008,0.719971
50,2012,0.693024,0.505241,0.81721,0.780994,0.621949
16,2012,0.774748,0.421627,0.814642,0.856964,0.723866
24,2012,0.810998,0.655941,0.897029,0.883686,0.645777
28,2012,0.744057,0.498803,0.839019,0.838487,0.59556
25,2012,0.791399,0.573523,0.918741,0.875231,0.612584
11,2012,0.703686,0.329454,0.852905,0.80626,0.595247
12,2012,0.716393,0.33436,0.864449,0.864663,0.598296
43,2012,0.80429,0.472734,0.86486,0.853263,0.715897
27,2012,0.755656,0.601834,0.870844,0.855297,0.568466
13,2012,0.88155,0.5446,0.962105,0.937759,0.666224
51,2012,0.700844,0.617795,0.791634,0.806487,0.62283
26,2012,0.803524,0.579181,0.894401,0.860437,0.596762
17,2012,0.709824,0.53295,0.852103,0.834256,0.589253
14,2012,0.746039,0.318145,0.860101,0.872379,0.649362
31,2012,0.826352,0.660226,0.904231,0.866163,0.674147
35,2012,0.877765,0.503404,0.861121,0.907814,0.788552
16,2013,0.765663,0.358744,0.780042,0.84622,0.720228
25,2013,0.784294,0.569166,0.916813,0.871743,0.614156
14,2013,0.737259,0.339202,0.844297,0.86887,0.648148
50,2013,0.688085,0.474529,0.813221,0.780042,0.626086
35,2013,0.87608,0.512965,0.861218,0.904614,0.788495
29,2013,0.78039,0.624209,0.896334,0.846428,0.561662
12,2013,0.698498,0.325738,0.835311,0.856115,0.596008
52,2013,0.791039,0.62758,0.859912,0.852558,0.722688
33,2013,0.827616,0.546874,0.840791,0.854114,0.763758
26,2013,0.806319,0.611919,0.907927,0.858442,0.59549
43,2013,0.783107,0.483408,0.864895,0.845604,0.715575
27,2013,0.744972,0.547672,0.884224,0.851717,0.565151
51,2013,0.702776,0.617195,0.807595,0.801445,0.62489
31,2013,0.829611,0.614366,0.907136,0.866514,0.675421
17,2013,0.707042,0.534901,0.85567,0.834992,0.588629
32,2013,0.768602,0.413029,0.836387,0.790222,0.624885
22,2013,0.775369,0.656421,0.932551,0.880035,0.591682
41,2013,0.786344,0.424552,0.872808,0.845025,0.690115
11,2013,0.693786,0.299175,0.838824,0.801352,0.597783
15,2013,0.737801,0.493871,0.911491,0.834474,0.546202
13,2013,0.880242,0.555885,0.962776,0.938044,0.664057
24,2013,0.810073,0.650887,0.896631,0.88439,0.643555
28,2013,0.731921,0.474121,0.815728,0.835302,0.59051
23,2013,0.799937,0.523745,0.899666,0.866948,0.600042
42,2013,0.751677,0.433536,0.786695,0.800229,0.676527
21,2013,0.733188,0.522907,0.904959,0.82903,0.526905
28,2014,0.730495,0.476075,0.810217,0.835528,0.590212
50,2014,0.692664,0.486828,0.820971,0.780453,0.630496
51,2014,0.707444,0.592634,0.796303,0.804535,0.627698
27,2014,0.746158,0.55695,0.886772,0.851714,0.570281
52,2014,0.795816,0.610314,0.864544,0.855197,0.720191
41,2014,0.784089,0.423918,0.861308,0.841242,0.69213
11,2014,0.69349,0.298315,0.831717,0.803758,0.602595
21,2014,0.729936,0.512158,0.890295,0.827162,0.523419
22,2014,0.779105,0.693471,0.916041,0.874219,0.59276
26,2014,0.801308,0.596958,0.897476,0.858328,0.597391
14,2014,0.746509,0.316916,0.862394,0.867461,0.650277
31,2014,0.825613,0.608818,0.901805,0.864585,0.67833
43,2014,0.783839,0.477888,0.859419,0.843884,0.716532
25,2014,0.788873,0.56029,0.919641,0.872964,0.613522
12,2014,0.709874,0.31269,0.827629,0.858863,0.595105
35,2014,0.873122,0.526434,0.859176,0.900025,0.787559
15,2014,0.727915,0.47849,0.889348,0.826412,0.549337
17,2014,0.710743,0.533008,0.865533,0.840547,0.588991
24,2014,0.801773,0.631636,0.8871,0.88466,0.646633
16,2014,0.773062,0.377626,0.817962,0.851118,0.722107
42,2014,0.76403,0.425148,0.787196,0.815995,0.680296
13,2014,0.874176,0.559214,0.961235,0.929799,0.665163
23,2014,0.79258,0.477663,0.891188,0.861951,0.600008
32,2014,0.769294,0.432344,0.841253,0.796061,0.624265
33,2014,0.825656,0.550876,0.840783,0.850964,0.764348
29,2014,0.77802,0.636803,0.891332,0.844556,0.562472
23,2015,0.791531,0.506514,0.891437,0.856326,0.602111
11,2015,0.694335,0.305647,0.852154,0.800603,0.604875
52,2015,0.792506,0.599255,0.863912,0.852637,0.72358
13,2015,0.868583,0.567755,0.964268,0.928639,0.663073
21,2015,0.720329,0.522823,0.888935,0.81623,0.523764
16,2015,0.769808,0.354129,0.800237,0.855441,0.721563
26,2015,0.794733,0.607889,0.891839,0.854698,0.600526
43,2015,0.780295,0.489334,0.85618,0.842012,0.715878
41,2015,0.782616,0.420625,0.863649,0.8356,0.692497
12,2015,0.702146,0.3136,0.835543,0.852206,0.595861
42,2015,0.765502,0.421326,0.789839,0.815499,0.682037
28,2015,0.732204,0.486639,0.822019,0.831135,0.588381
17,2015,0.715613,0.497903,0.876351,0.84771,0.592764
